QUESTION,BT LEVEL,BT LEVEL (REVISED)
Pre-cast concrete retaining walls may be constructed with any or all of the joints. Describe the THREE (3) types of joints used. ,Comprehension,Understand
Discuss THREE (3) situations that necessitate the use of pile foundation. ,Comprehension,Understand
Differentiate between Putlog and Independent Scaffold. ,Analysis,Analyze
Explain FIVE (5) characteristics of Industrialised Building System (IBS) in construction. ,Comprehension,Understand
Name and sketch the proposed retaining wall in plan view to show the main elements of the wall. ,Application,Apply
List and explain the FOUR (4) considerations when selecting a basement wall. ,Comprehension,Understand
"In the renovation of a new car showroom, the client wishes to attract the attention of pedestrians who passes by their building. Propose the type of external envelop for this building and explain the reasons. Sketch the proposed external envelop. ",Synthesis,Create
"Write a formula to show the steady state assumption. If all other conditions remain identical, explain how an increase in k-1 would affect the Michaelis constant.",Application,Apply
Describe “mechanism-based inhibitors”. ,Comprehension,Understand
State the forces stabilizing functional structure of enzyme which is most susceptible to drastic pH changes. Explain your answer using an example. ,Comprehension,Understand
Describe the principles of a coupled enzyme assay. ,Comprehension,Understand
Discuss the advantages and disadvantages of using laccase-based de colorization treatment.,Comprehension,Understand
Suggest a technique that can overcome the problem of non-reusability for industrial enzyme applications. ,Synthesis,Create
"Enzyme therapy is applied clinically to treat Gaucher disease. Describe the cause of the disease, the therapeutic enzyme and its function. ",Comprehension,Understand
State the advantage of applying each step in the purification scheme. ,Comprehension,Understand
Draw a table indicating purification fold and yield at each step. ,Comprehension,Understand
Draw a diagram to illustrate the Edman degradation reaction in protein sequencing. Describe some potential complications during Edman degradation protein sequencing. ,Comprehension,Understand
Explain the functional advantages provided by enzymes with a quaternary structure. ,Comprehension,Understand
Discuss the regulation of ATCase which is an allosteric enzyme. ,Comprehension,Understand
Draw and label the typical heat denaturation curves for mesophilic and thermophilic enzymes. ,Comprehension,Understand
Describe the limitations of using ribozyme as a catalyst. ,Comprehension,Understand
Explain the main difference between uncompetitive and noncompetitive inhibitors. ,Comprehension,Understand
Name the enzyme commonly used to detect liver damage or muscle damage in clinical diagnosis.,Knowledge,Remember
"Based on the aspartate protease mechanism, explain the concept of using ""Crixivan"" to treat HIV patients. ",Comprehension,Understand
Elaborate on the importance of 'stability' for industrial enzymes. ,Comprehension,Understand
"The tyrosinase-containing solution was dissolved in 50 mM potassium phosphate buffer containing 0.01 mM NaCl, pH 6.5, before applying to a DEAE Sephadex A50 column. Suggest and explain how the mobile phase should be modified to elute the bound tyrosinase. ",Synthesis,Create
"Oxygen is effectively transported by hemoglobin, regulated by some allosteric effectors in human blood. Name these allosteric effectors and discuss how their presence increases effective delivery of oxygen to tissues.",Comprehension,Understand
Explain the importance of using initial velocity to study enzymatic catalysis. ,Comprehension,Understand
Give the enzyme group number and name for acetylcholine esterase. Describe the non-covalent interactions used by acetylcholine esterase for substrate binding.,Comprehension,Understand
Propose and explain a suitable enzyme-substrate interaction model for enzyme X.,Synthesis,Create
Describe how accurate mass spectrometry could be applied to determine if a small protein contains a pair of disulfide-bonded cysteine residue or two reduced cysteine residues. Explain how you can confirm your finding. ,Analysis,Analyze
Draw a pH denaturation profile for an enzyme. Explain what happens to the enzyme during pH denaturation. ,Comprehension,Understand
Name two super secondary structures found within enzymes which involved formation of a-helices. Describe how the a-helices could be maintained in an enzyme. ,Comprehension,Understand
Draw a diagram to illustrate the Edman degradation reaction in protein sequencing. ,Comprehension,Understand
Describe the features of lactate dehydrogenase (LDH) as an isozyme. Discuss the diagnostic importance of LDH.,Comprehension,Understand
Chymotrypsin belongs to serine protease family. Describe the catalytic mechanism of chymotrypsin emphasizing the role of the catalytic triad and substrate binding site in catalysis. ,Comprehension,Understand
Describe the components involved in the formation of a folded enzyme. ,Comprehension,Understand
Provide the equations for the Eadie-Hofstee and Hanes-Woolf plot. Explain how these equations could be derived from the Michaelis-Menten equation. ,Application,Apply
Explain the main disadvantage of Lineweaver-Burk plot. Suggest an alternative method to Lineweaver-Burk plot. ,Synthesis,Create
Draw and label an Eisenthal-Cornish-Bowden direct plot. Explain how kinetic parameters could be determined from this plot. ,Application,Apply
Describe how the hexokinase enzymatic activity could be determined using the coupled assay method. ,Application,Apply
Give ONE example of aspartic protease. Describe the mechanism of aspartic protease in relation to how pH affects its activity. ,Comprehension,Understand
A cascade of zymogen activation occurs both with digestive proteases and blood clotting proteases. List THREE advantages of this activation.,Knowledge,Remember
Define the transition state and activation energy in relation to catalytic power of an enzyme. ,Comprehension,Understand
"The substrates of allosteric enzymes exhibit positive cooperativity. Explain positive cooperativity in terms of subunits, conformation, and activity of the active site. ",Comprehension,Understand
Describe the industrial application of enzymes in beer production. ,Comprehension,Understand
Immobilization enables industrial enzymes to be used repeatedly. List THREE advantages of immobilized enzyme and give an example of large scale application of immobilized enzyme in industry.,Comprehension,Understand
Explain how changes in amino acid ionization states could affect the catalytic activity of an enzyme. ,Comprehension,Understand
Describe the interactions involved in stabilization of enzyme's quaternary structure. Explain which of these interactions is the least likely to be affected by denaturation at a liquid-liquid interface. ,Comprehension,Understand
"You attempt to purify a single protein X from a complex mixture of proteins. Protein X has a large number of aspartic and glutamic acid residues and no lysine, arginine or histidine residues. Propose an adsorption column chromatography technique which could retain protein X but elute other contaminants at pH 7. State your assumption(s). ",Synthesis,Create
"You attempt to purify a single protein X from a complex mixture of proteins. Protein X has a large number of aspartic and glutamic acid residues and no lysine, arginine or histidine residues. Suggest and explain a method to elute protein X from the column. ",Synthesis,Create
Describe the amino acid composition that could destabilize an enzyme's helical stability. ,Comprehension,Understand
Describe the enzyme characteristics that are desirable in high temperature industrial applications. ,Comprehension,Understand
Enzymes are applied in the medical field based on their specific functions. List the THREE main areas of clinical enzymology and provide ONE example how enzymes are used in each area. ,Comprehension,Understand
State the conditions necessary for the formation of enzyme's quaternary structure. Explain how quaternary structure could contribute to enzyme stability. ,Comprehension,Understand
Draw and label a titration curve for glutamic acid. Calculate the isoelectric point. ,Application,Apply
Justify whether the enzyme after step 'Size-exclusion chromatography' is pure. Suggest a method to estimate the purity of the enzyme preparation. ,Evaluation,Evaluate
State TWO types of enzyme specificities that do not agree with lock and key model. Explain your answer.,Comprehension,Understand
Draw and label an activity temperature profile for mesophilic and thermophilic enzymes. Provide explanation to this phenomenon.,Comprehension,Understand
Explain the importance of using initial rate to determine enzymatic activity.,Comprehension,Understand
Explain the TWO main factors that could affect enzyme catalytic efficiency.,Comprehension,Understand
Explain how the affinity of hemoglobin for oxygen is regulated. ,Comprehension,Understand
Explain how competitive and uncompetitive inhibitors will affect enzymatic reactions. ,Comprehension,Understand
Discuss various practices to achieve maximum yield and production of crude palm oil. ,Comprehension,Understand
"Discuss the importance of shikimate pathway, a primary metabolism pathway related to plant secondary metabolism. ",Comprehension,Understand
Discuss how curing can maintain quality and minimize decay of potato tubers in the postharvest stage. ,Comprehension,Understand
Describe the differences in the sugar compositions between unfermented and fermented cocoa beans. ,Comprehension,Understand
Discuss factors which could contribute to changes in the sugar compositions of cocoa beans during fermentation. ,Comprehension,Understand
"Illustrate with a drawing the biochemical pathway for natural rubber biosynthesis, beginning with acetyl CoA. ",Comprehension,Understand
Describe the main disadvantage of palm oil with an indigenous broad melting interval ranging from -20 to 50°C. Refined palm oil is further processed to improve its marketable value. Discuss this process in relation to the secondary products from refined palm oil. ,Comprehension,Understand
Describe alkaloids chemically and how plants use this group of secondary metabolites to protect themselves from herbivores. ,Comprehension,Understand
"Illustrate with a labeled drawing the pathway of sulfate assimilation in leaf mesophyll cells. In your answer, describe how sulfate is transported from the root to leaf cells, the energy requirements of sulfate assimilation, and the fate of unassimilated sulfate. ",Comprehension,Understand
Explain the significance of the position of rubber-synthesizing cis prenyltransferases in the structure of a rubber particle. ,Comprehension,Understand
Distinguish between the ripening behavior of climacteric and non-climacteric fruits in terms of their respiration rates and ethylene production.,Analysis,Analyze
The oil palm (Elaeis guineensis) is an erect monoecious plant. Describe how its inflorescences develop into fruit and relate this to the pest control practice that could affect the productivity of the oil palm. ,Comprehension,Understand
The major constituent of palm oil is triglyceride. Describe TWO reactions of triglyceride which could affect the quality of vegetable oils.,Comprehension,Understand
Identify the key enzymes and explain their roles in fatty acid biosynthesis that contribute to the unique fatty acid composition of palm mesocarp oil.,Comprehension,Understand
"Discuss the benefits of palm oil, in terms of versatility, diet-health relationship and sustainability. ",Comprehension,Understand
"As a defence strategy, most plant secondary metabolites exert adverse effects on herbivores. Discuss how plants avoid poisoning themselves with these metabolites. ",Comprehension,Understand
State the TWO biological isoprene building blocks and the enzyme involved in synthesising the precursor. ,Comprehension,Understand
"Differentiate between phenylpropanoids and alkaloids in terms of structure, functions and applications. ",Analysis,Analyze
"Illustrate with a labelled drawing the pathway of nitrate assimilation in leaf mesophyll cells. In your answer, discuss the origin of nitrate that is available to the mesophyll cells, the energy requirements of nitrate assimilation, the end products, and the fate of unassimilated nitrate. ",Comprehension,Understand
Discuss the biological factors that cause the deterioration of cut flowers.,Comprehension,Understand
Distinguish between the ripening behaviour of climacteric and non-climacteric fruits in terms of carbon dioxide release and ethylene synthesis. ,Analysis,Analyze
Name FIVE vital plant processes that herbicides target. ,Knowledge,Remember
Discuss the importance of knowing herbicide families and mode of action. ,Comprehension,Understand
Give THREE examples of symptoms that resemble herbicide damage on plants. ,Comprehension,Understand
State THREE traits that are associated with invasive plants.,Knowledge,Remember
Discuss TWO hypotheses for invasive plants to become successful outside of their native ranges. ,Comprehension,Understand
Weeds reduce the quality of crops and livestock. Explain. ,Comprehension,Understand
Write TWO reasons on the slow adoption of biological control in weed management. ,Comprehension,Understand
Differentiate between contact and systemic herbicides. ,Analysis,Analyze
Briefly discuss the advantage of C3 and C4 pathways for weeds. ,Comprehension,Understand
Give TWO examples of natural and artificial means of the seed dispersal of weeds respectively. ,Comprehension,Understand
Discuss issues of defining “weeds”. ,Comprehension,Understand
Define economic threshold and its use. ,Comprehension,Understand
List THREE factors in determining economic thresholds for weeds. ,Knowledge,Remember
State the goal of integrated weed management and its essence.,Knowledge,Remember
State the objective of proactive resistance management and briefly describe THREE methods of this management. ,Comprehension,Understand
Discuss THREE mechanisms of vegetative reproduction that make certain weeds successful in establishment. ,Comprehension,Understand
Define allelopathy and list how allelopathic substance enters the environment. ,Comprehension,Understand
"With the aid of a flow chart, briefly describe the steps involved in developing a successful animal breeding programme. ",Comprehension,Understand
"Using a farm animal species of your choice, sketch a graph and describe the scenario that demonstrate a strong genotype by environmental interaction that could influence breeding objectives. ",Application,Apply
List FOUR conditions required in order for an animal population to remain at Hardy-Weinberg equilibrium.,Knowledge,Remember
Determine the possible number of unique zygotes that could be produced upon successful mating. ,Application,Apply
Justify whether the dam and sire are inbred or outbred. ,Evaluation,Evaluate
Describe the differences between progeny and sib testings. ,Comprehension,Understand
Briefly describe FOUR principles in selecting and purchasing breeding stock. ,Comprehension,Understand
Give ONE common crossbreed for porker production in Malaysia and name the state in Peninsular Malaysia that has the highest production rate. ,Comprehension,Understand
Suggest and describe an assisted reproductive technique that the farm should use for rapid and cost effective production. ,Synthesis,Create
Determine which Angus bull is the heaviest. Justify your answer.,Evaluation,Evaluate
Determine which Angus bull would produce the heaviest offspring (on average). Justify your answer. ,Evaluation,Evaluate
Suggest TWO possible poultry breeds that Kaseem are breeding for Malaysia broiler industry. ,Synthesis,Create
"In your opinion, which parental group selected will give a higher gain in Kaseem's breeding programme. Show the calculation and justify your answer. ",Evaluation,Evaluate
State the number of autosome and sex-chromosome for a rooster and a hen.,Knowledge,Remember
Briefly describe TWO mating methods of commercial importance for the production of fertilised eggs from breeder birds. ,Comprehension,Understand
“Domestication of animals does not influence human behavior and lifestyle.” State whether you agree or disagree with the statement. Justify your answer. ,Evaluation,Evaluate
Briefly describe FOUR common characteristics that are possessed by a wild animal before they could be considered for domestication. ,Comprehension,Understand
Differentiate between trait and phenotype. ,Analysis,Analyze
Give an example of trait and phenotype to describe a Belgian Blue. ,Comprehension,Understand
"The Friesian cow, a dairy breed, is a product of selective breeding. Predict the problems that may occur during the selection of Friesian Cows. ",Application,Apply
Give TWO examples how breeding is similar to natural selection. ,Comprehension,Understand
"State, define and list the advantage(s) and disadvantage(s) of the THREE animal selection methods for multiple traits. ",Comprehension,Understand
Differentiate between crossbreeding and linebreeding. ,Analysis,Analyze
Briefly describe the advantages of marker assisted selection in farm animal breeding. ,Comprehension,Understand
Explain the principle of ultrasonography in pregnancy diagnosis for farm animals. ,Comprehension,Understand
State THREE advantages of pregnancy diagnosis in animal breeding. ,Knowledge,Remember
Cyrus claimed that placentomes could be observed using a transabdominal probe to scan both pregnant sow and doe on day-20 of gestation. Justify whether his claim is true or false. ,Evaluation,Evaluate
Contrast B-mode and A-mode ultrasound systems. ,Comprehension,Understand
Briefly describe how poultry sexing is commonly carried out in a hatchery. ,Comprehension,Understand
Briefly describe the advantages of MOET in cattle breeding. ,Comprehension,Understand
Describe the flow of MOET procedures in cattle breeding. ,Comprehension,Understand
Two different soils were obtained during sampling and the distance between the two sites were only 100 meters apart. Discuss TWO soil forming factors which are most likely to explain the differences. ,Comprehension,Understand
Justify why soil taxonomy is considered as a hierarchical classification system. ,Evaluation,Evaluate
State the SIX categories in soil taxonomy. ,Knowledge,Remember
"With the aid of diagrams, describe how the soil structure influences the rate of water leaching.",Comprehension,Understand
Define soil pH. ,Knowledge,Remember
"Distinguish among acidic, saline and sodic soils. ",Analysis,Analyze
Differentiate between humic and non-humic substances. ,Analysis,Analyze
Soil algae and protozoa are usually restricted at the uppermost soil layers and smaller than their aquatic counterparts. Justify. ,Evaluation,Evaluate
Illustrate SIX processes that occur in the hydrological cycle. ,Comprehension,Understand
"With suitable examples, briefly discuss the importance of soil aeration.",Comprehension,Understand
Describe THREE factors that affect soil aeration. ,Comprehension,Understand
Define luxury consumption of plant nutrients. ,Knowledge,Remember
Predict the effects of excess application of nitrogen fertilizer into the soil. ,Comprehension,Understand
Briefly describe how riparian forests help in  reducing nitrate contamination in rivers reducing nitrate and streams. ,Comprehension,Understand
Discuss why the fertility program for potted plants is different from field crops. ,Comprehension,Understand
"Propose a fertilizer placement method of nitrogen, phosphorus and potassium for a successful fertilization of a large mango tree. Justify your answer. ",Synthesis,Create
List THREE factors that influence the type of irrigation used in agriculture. ,Knowledge,Remember
Evaluate the benefits and drawbacks of artificial drainage. ,Evaluation,Evaluate
"By assuming other factors (pH, water content and etc.) are being equal in clay loam and sandy loam, state which soil would be expected to have higher organic matter content. Justify your answer. ",Evaluation,Evaluate
"Describe how the soil colloidal complex tends to serve as a ""reservoir"" for plant nutrients. ",Comprehension,Understand
Predict the effect on bulk density when a large quantity of organic matter is added into the soil. Justify your answer. ,Evaluation,Evaluate
Fertilizer that is extremely high in phosphorus content is essential for flowering. Justify. ,Evaluation,Evaluate
Discuss TWO adverse consequences of using wetlands as recipients of irrigation wastewater. ,Comprehension,Understand
List and briefly describe the FOUR soil forming processes. ,Comprehension,Understand
Define cation exchange capacity (CEC) and discuss how CEC influences the status of nutrients in soil. ,Comprehension,Understand
Briefly explain how tillage will influence the density of soil. ,Comprehension,Understand
Explain the role of mesofauna in the decay of fresh organic matter.,Comprehension,Understand
Describe how the increase of soil organic matter level may immobilize some nutrients in soil. ,Comprehension,Understand
Write a short note about mulch and how mulching could help in controlling soil temperature. ,Comprehension,Understand
"Briefly discuss how the use of manure, organic by-products and commercial fertilizers have changed over time. ",Comprehension,Understand
Describe how soil surface roughness affects both water and wind erosion. Suggest ways to increase roughness to reduce erosion. ,Synthesis,Create
Define soil bioremediation. ,Knowledge,Remember
Identify the advantages and disadvantages of in situ and ex situ means of remediating polluted soils. ,Comprehension,Understand
Define soil horizon and relate it with soil profile. ,Comprehension,Understand
Briefly explain which characteristics of alluvial soils make them ideal for agriculture. ,Comprehension,Understand
"Discuss why physical weathering is more prevalent in dry, cool regions while chemical weathering is more prevalent in wet, hot regions. ",Comprehension,Understand
Distinguish between products from physical and chemical weathering. ,Analysis,Analyze
Briefly explain how clay particles and soil organisms influence soil structure. ,Comprehension,Understand
Discuss the importance of soil structure in vegetable farms. ,Comprehension,Understand
Describe how pore size can affect water retention in soil. ,Comprehension,Understand
Describe soil colloids and their importance. ,Comprehension,Understand
"In soil pH, define buffering and explain why it is important in soils. ",Comprehension,Understand
Classify soil organisms according to their ecology and state TWO examples for each group. ,Comprehension,Understand
Soil organic matter content will differ depending on environmental conditions. Justify with TWO examples. ,Evaluation,Evaluate
Explain why mycorrhizal fungi are important for phosphorus availability in soil. ,Comprehension,Understand
Describe how soils are involved in the greenhouse effects. ,Comprehension,Understand
Describe whether the soil is contaminated or polluted. ,Comprehension,Understand
"State TWO examples for inorganic and organic contaminants, respectively. ",Knowledge,Remember
Briefly discuss THREE factors with ONE example each that should be considered when determining fertilizer placement method. ,Comprehension,Understand
State the advantages of no tillage. ,Knowledge,Remember
Explain why higher rates of nitrogen might be required for no tillage compared to conventional tillage. ,Comprehension,Understand
Distinguish between rill and gully erosion. ,Analysis,Analyze
Differentiate between soil fertility and soil productivity. ,Analysis,Analyze
Briefly explain the drawbacks of using deficiency symptoms to determine fertilizer rates. ,Comprehension,Understand
Describe the advantages and disadvantages of foliar application in fruit crops. ,Comprehension,Understand
Describe conservation tillage and explain why it often requires a change in nutrient management. ,Comprehension,Understand
Comment on the importance of comparative genomics research. ,Evaluation,Evaluate
Briefly describe the stages involved in sequence assembly for the whole genome shotgun methodology. ,Comprehension,Understand
Discuss the significance of human genome project. ,Comprehension,Understand
"Name the amino acid residues with the single letter code ""EQRNHL"". ",Knowledge,Remember
Comment on the introduction of seven “_” in the alignment. ,Evaluation,Evaluate
Briefly explain the mechanism of RNA interference. ,Comprehension,Understand
"In a table form, state the advantages and disadvantages of X-ray crystallography and nuclear magnetic resonance in elucidating the three dimensional structure of proteins. ",Comprehension,Understand
Eukaryotic genome is mostly repetitive DNA and non-coding sequences. Elaborate the statement. ,Comprehension,Understand
"In a table form, differentiate between RefSeq and GenBank DNA sequences. ",Analysis,Analyze
Describe briefly the experimental flow of fluorescent in situ hybridization (FISH). List THREE of its major applications. ,Comprehension,Understand
GenBank offers a few options for nucleotide sequence submissions. Name TWO available options and when are they used. ,Comprehension,Understand
"Contrast the following basic BLAST programs: PSI-BLAST, PHI-BLAST and tBLASTX.",Comprehension,Understand
List the advantages and limitations of protein crystal structure determination using X-Ray crystallography. ,Comprehension,Understand
Name the amino acids for the following single letter codes: DMVREL. ,Knowledge,Remember
"Comparing to the reference sequence, identify the functional elements to represent S2 and S3, respectively. ",Comprehension,Understand
Indicate whether S2 or S3 is useful for genetic linkage analysis. Justify your answer. ,Evaluation,Evaluate
Discuss the significance of genome studies in molecular medicine.,Comprehension,Understand
Primary structure of a protein plays a significant role in determining the native structure or the protein fold. Comment on the statement. ,Evaluation,Evaluate
State the importance of data generated from a given hydrophobicity plot. Describe the relevant information that can be deduced from the plot generated. ,Comprehension,Understand
Briefly explain if restriction mapping is useful in determining the presence of minisatellite. ,Comprehension,Understand
Describe the methodology of determining the transcriptional start site using RACE-PCR. ,Comprehension,Understand
Briefly describe the hierarchical classification of proteins using CATH classification. ,Comprehension,Understand
"""Microsatellite tandem repeats are abundant in human promoters and are associated with regulatory activity (Sawaya et al., 2013).” Discuss the statement and support your views with examples. ",Evaluation,Evaluate
"John Watson passed away and left behind a legal child, Mary Watson, as well as two girlfriends, Susan and Petty, who were in their 8 week of gestation. Susan claimed that she bore an illegitimate child of John Watson. Propose and design the most suitable paternity experiment to prove Susan's claim. You may outline your experiment using schematic diagram(s). ",Synthesis,Create
Name the following conserved amino acids for their corresponding single letter codes: SQYKRECP. ,Knowledge,Remember
State what does the symbol “+” represents. ,Knowledge,Remember
Melting temperature (Tm) is an important criteria to consider when designing primers for PCR amplification. Comment. ,Evaluation,Evaluate
CATH and SCOP are databases that hierarchically classify protein domains according to their structures. Describe the CATH protein classification system. ,Comprehension,Understand
Briefly describe the BLOSUM scoring matrix. ,Comprehension,Understand
"Construct a DNA based cladogram using neighbour-joining approach, and suggest the relationship of S, M, and D species. ",Synthesis,Create
Discuss the significance of hydrophobicity plot in transmembrane protein research. ,Comprehension,Understand
List THREE applications of degenerate PCR amplification.,Knowledge,Remember
"Microbiota-based models may be an alternative method to facilitate the use of data on the gut microbiota in certain diseases. For example, NextSeq 550 and NextSeq 550DX platforms have been used to detect gut microbiota in non communicable diseases. Compare and contrast both platforms with regards to their regulatory status, key applications and array scanning.",Analysis,Analyze
Highlight the importance of bioinformatics analysis in genomic studies. ,Comprehension,Understand
"Identify the genetic elements in the DNA sequences of Homo sapiens, Homo luzonensis and Homo erectus. Justify your answer. ",Evaluation,Evaluate
State the main missions of National Center for Biotechnology Information (NCBI). ,Knowledge,Remember
Proline and glycine are prevalent in beta-turns of protein structures. Comment on the statement. ,Evaluation,Evaluate
"Bernard has successfully determined the sequence of Protein X which consists of 110 amino acid residues. He is interested to predict the protein struc using the available homology modelling software. Based on your knowledge of the mechanism of protein folding, comment on the reliability and accuracy of the prediction. ",Evaluation,Evaluate
Write an essay on the importance of comparative genomics. ,Synthesis,Create
Name the following conserved amino acids with their corresponding single letter codes: WMEADK.,Knowledge,Remember
"Comment on the values that were generated for “Identities” and “Positives"". ",Evaluation,Evaluate
"Define the designation “Frame = -3"".",Knowledge,Remember
State the significance of “Score” in the BlastX alignment. ,Comprehension,Understand
"In a table, list EIGHT differences between GenBank and RefSeq DNA sequences. ",Comprehension,Understand
Briefly describe the disadvantages of characterising three dimensional protein structures using X-ray diffraction. ,Comprehension,Understand
Define “ecosystem services” and describe how they are benefiting our society. ,Comprehension,Understand
State the problems that could arise from environmental overload of fixed nitrogen due to generous usage of nitrogen fertilizer and suggest a possible solution for this situation. ,Synthesis,Create
"Using an appropriate example, describe how competitive ELISA works. ",Comprehension,Understand
List and explain THREE factors that are affecting microbial biodegradation rates of petroleum hydrocarbon. ,Comprehension,Understand
Name the THREE types of land application of wastewater. ,Knowledge,Remember
Describe the circumstances when tertiary treatment of wastewater is necessary. ,Comprehension,Understand
"Explain why bogs are considered to be a ""carbon sink"". ",Comprehension,Understand
"You are on a mission to study the microbial diversity in a hyperarid desert. Design experimental steps in collecting, storing, and analyzing the samples. Justify the choices in each step and predict the types of microbes that could be found. ",Evaluation,Evaluate
Describe the major functions or roles of soil microbes that beneficially impact human health and welfare. ,Comprehension,Understand
Compare and contrast microbial and chemical risk assessment. ,Analysis,Analyze
"Explain the microbe-related coupling of carbon, nitrogen, and oxygen in a lake that is experiencing a sudden bloom of cyanobacteria due to anthropogenic fertilizer inputs. ",Comprehension,Understand
Define “biogeochemical cycling” and discuss its importance to the ecosystem and survival of living organisms. ,Comprehension,Understand
State the purposes of risk assessment. ,Knowledge,Remember
Explain why hazard identification in the case of pathogens is complicated. ,Comprehension,Understand
Describe the formation of an aquatic dead zone. ,Comprehension,Understand
A solid cube with dimensions of 10.0 nm was dispersed into water to become colloidal particles with dimensions of 1.0 nm. Calculate the changes of surface area to volume (surface / volume). ,Application,Apply
List and explain TWO simple techniques used to prepare colloids by mean of dispersion. Use simple diagrams to clarify the explanation.,Comprehension,Understand
State TWO phenomena that affect the stabilization of colloidal nanoparticles in aqueous medium. ,Knowledge,Remember
Give the appropriate formula to calculate the velocity of the sedimentation. ,Comprehension,Understand
Differentiate between electroosmosis and electrophoretic mobility of solutes in capillary electroosmosis. ,Analysis,Analyze
The oscillating jet method is commonly used to study the surface/interfacial tensions. Give another THREE methods that are used to measure surface/interfacial tension. ,Comprehension,Understand
Briefly explain the main feature of the structures of dilute foams and concentrated foams. ,Comprehension,Understand
Give TWO methods to measure the surface coverage. ,Comprehension,Understand
Briefly explain why fatty acids such as stearic acid can be used in Langmuir Blodgett (LB) film deposition and how the monolayer is formed.,Comprehension,Understand
Give the appropriate formula to calculate the kinetic energy of sodium. ,Comprehension,Understand
Sketch the Type I isotherm and provide a brief description of its nature and the processes that gives rise to the isotherm. ,Application,Apply
Briefly explain the Auger process. ,Comprehension,Understand
Give TWO disadvantages of Transmission Electron Microscopy (TEM). ,Comprehension,Understand
Give TWO functions of egg yolks in mayonnaise production. ,Comprehension,Understand
Explain in detail the chemisorptions of ammonia. Focus only on molecular adsorption of ammonia on a solid surface at low temperature.,Comprehension,Understand
Explain briefly how the aggregation processes could improve the water quality in a water treatment plant. ,Comprehension,Understand
Give THREE disadvantages of X-Ray Photoelectron Spectroscopy (XPS). ,Comprehension,Understand
"Calculate the surface tension of a wetting liquid, C (1.23 gml-l ) which rises 1.50 m in a vertical capillary tube with the internal radius of 0.15 mm. ",Application,Apply
A blue solid cube with dimensions of 10.0 x 10-9 m was dispersed into water to become colloidal particles with dimensions of 1.0 x 10-9 m. Calculate the changes of surface area to volume (surface / volume). ,Application,Apply
Explain and differentiate between TWO types of aggregations when colloidal particles are unstable.,Analysis,Analyze
List another TWO isotherms besides Langmiur isoterm. ,Knowledge,Remember
Briefly explain why does surface tension remain constant once critical micelle concentration (CMC) is reached.,Comprehension,Understand
Name the TWO ways of how molecules bonded to surface. Provide a brief description on the modes of adsorption. ,Comprehension,Understand
Briefly explain the differences between and Langmuir-Blodgett (LB) monolayer and self-assembled monolayer (SAM). ,Comprehension,Understand
List THREE types of Atomic Force Mircroscopes (AFM).,Knowledge,Remember
Differentiate between Gibbs adsorption equation and dynamic surface tension in the study of adsorption at interfaces. ,Analysis,Analyze
Sketch the Type Il isotherm and provide a brief description of its nature and the processes that gives rise to the isotherm. ,Application,Apply
"Explain in detail the chemisorptions of hydrocarbon (eg. alkene, alkyne etc). Focus only on molecular adsorption of hydrocarbon on solid surface at low temperature.",Comprehension,Understand
Briefly explain how the aggregation processes could improve the water quality in a water treatment plant.,Comprehension,Understand
Briefly explain why formation of solid forms in final product such as glasses and bottles in glass industry is a disadvantage. ,Comprehension,Understand
Give FOUR information that can be obtained from Scanning Electron Miscroscope (SEM).,Comprehension,Understand
Explain and differentiate between TWO types of aggregations when colloidal particles are unstable. ,Analysis,Analyze
Describe the electrokinetic phenomenon. ,Comprehension,Understand
Briefly explain why coating a nanoparticle or surface with a polyelectrolyte (polymer with ionizable groups) is favourable. ,Comprehension,Understand
Briefly explain why surface tension remains constant once critical micelle concentration (CMC) is reached. ,Comprehension,Understand
Briefly explain and draw the structure of dilute foams and concentrated foams. ,Comprehension,Understand
Sketch the Type III isotherm and provide a brief description of its nature and the processes that give rise to the isotherm. ,Application,Apply
Briefly explain the differences between a Langmuir-Blodgett (LB) monolayer and a self-assembled monolayer (SAM). ,Comprehension,Understand
Give TWO advantages of X-Ray Photoelectron Spectroscopy (XPS). ,Comprehension,Understand
List the information that can be obtained from X-Ray Photoelectron Spectroscopy (XPS). ,Knowledge,Remember
Briefly explain how aggregation processes could improve the water quality in a water treatment plant. ,Comprehension,Understand
Draw the hexapeptide Gly-Phe-Asp-Leu-Ala-Glu. Identify the formation of hydrogen bonding in an a-helix form of this hexapeptide.,Comprehension,Understand
"Describe the common structural features of phosphatidylserine, phosphatidylethanolamine, phosphatidylcholine and phosphatidylinositol. State their general function(s). ",Comprehension,Understand
Explain the processing of eukaryotic mRNA transcripts prior to translation. Indicate the chemical bases for each step. ,Comprehension,Understand
Justify whether tRNA or mRNA would be more extensively hydrogen bonded. ,Evaluation,Evaluate
"List the five groupings of amino acids based on the R groups, Give one example for each group. ",Comprehension,Understand
Name and briefly describe three types of column chromatography used in protein purification.,Comprehension,Understand
Define the chemical interaction indicated by the arrows. Identify the binding region of an antigen on the antibody structure.,Comprehension,Understand
Name the four different types of interactions involved in building the tertiary structure of proteins and give one denaturing agent for each.,Comprehension,Understand
Name the two classes of monosaccharide. Draw and name the simplest structure of molecule in each class. ,Comprehension,Understand
Write short notes on the structure and functions of polysaccharides by giving relevant example. ,Comprehension,Understand
"List the three types of RNA involved in the transcription and translation, and briefly explain their functions. ",Comprehension,Understand
