QUESTION,BT LEVEL
Draw a technology enhanced language learning classroom sketch for low proficiency primary year 6 students. You should include FIVE (5) basic technology facilities with label which are essential to the integration of technology in the classroom. ,COMPREHENSION
Evaluate your sketch with ADDIE's model procedure. ,EVALUATION
Draw a technology enhanced language learning classroom sketch for advanced level primary year 6 students. You should include FIVE (5) basic technology facilities with label which are essential to the integration of technology in the classroom. ,COMPREHENSION
Evaluate your sketch with ASSURE's model procedure. ,EVALUATION
"Technology has been used in most schools since the 90s, but it still has some interruptions. Validate the top FOUR (4) problematic issues with technology in education today. ",EVALUATION
Massive Open Online Course (MOOC) is a developing trend in media and technology. Predict the future of higher education with MOOC. ,COMPREHENSION
Each of the FOUR (4) different historical perspectives have a unique outlook on Educational Technology and defines it in a slightly different way. List and discuss the FOUR (4) perspectives. ,COMPREHENSION
Describe the 5 hierarchical stages of Welliver's Instructional Transformation Model. ,KNOWLEDGE
Explain FOUR (4) advantages of using multimedia in classroom. ,COMPREHENSION
Interpret FIVE (5) emerging trends of technology application in education. ,COMPREHENSION
"Draw a technology enhanced language learning classroom sketch for a writing lesson with 12 high proficiency students, aged 10. You should include FIVE (5) basic technology facilities with label which are essential to the integration of technology in the classroom. ",COMPREHENSION
Evaluate your sketch with ADDIE's model procedure.,EVALUATION
"Draw a technology enhanced language learning classroom sketch for a grammar lesson with 10 low proficiency students, aged 13. You should include FIVE (5) basic technology facilities with label which are essential to the integration of technology in the classroom. ",COMPREHENSION
Evaluate your sketch with ASSURE's model procedure. ,EVALUATION
Define the basic concepts of Educational Technology. ,KNOWLEDGE
"Provide a guideline for effective use of photography of display materials"" in teaching of English language. ",COMPREHENSION
Categorize the basic concepts of multimedia with an example for each. ,COMPREHENSION
Analyze FOUR (4) advantages of mobile assisted learning as an emerging digital technology used in teaching and learning. ,ANALYSIS
Define Educational Technology based on FIVE (5) instructional design view. ,KNOWLEDGE
Relate FIVE (5) examples on how video often make new connections and discoveries between curriculum topics and the world outside the classroom. ,ANALYSIS
Explain all the elements of multimedia with examples. ,COMPREHENSION
Interpret FIVE (5) usage of Learning Management System as an emerging technology in the context of teaching and learning.,COMPREHENSION
Explain the term inflation as used in building economics. ,COMPREHENSION
Outline TWO (2) main causes of inflation. ,COMPREHENSION
Elaborate the term of national income as used in building economics.,COMPREHENSION
Explain FIVE (5) characteristics of the construction sector. ,COMPREHENSION
Sketch a diagram to illustrate the activities and products in the construction industry. ,APPLICATION
Describe FIVE (5) limitations of small size construction firms in Malaysia. ,COMPREHENSION
The price of good is one of the internal factors of determinants of demands and it also depends on the cost of production. Describe the TWO (2) types of production cost with examples. ,COMPREHENSION
You are working with SP Setia Properties as the Sales Manager for the following project. Discuss EIGHT (8) ways to increase profits of the project. ,COMPREHENSION
"Your profit from previous project is RM30,000.00 and you just won a new project to construct a new airport runway at Sepang, Selangor. Decide whether you are going to purchase the bulldozer or pay out bonuses to your staff. Use the concept of opportunities cost, choices and scarcity to aid your explanation. ",APPLICATION
Discuss the roles of construction industry in a country's growth. Provide evidences on how construction industries worldwide have contributed to the economic growths of their respective countries to enhance your discussions.,ANALYSIS
Elaborate in general how construction industry is managed by the government and in detail how a government strategy to improve the industry can be delivered effectively.,COMPREHENSION
There are a number of factors influencing the productivity of a sector of the economy. Explain accordingly. ,COMPREHENSION
There is a relationship between the level of construction activity and a country's stage of development. Discuss.,ANALYSIS
Analyse the challenges facing a government in managing the construction economy and suggest the ways to overcome them.,SYNTHESIS
Explain the basic concepts in construction economics as introduced by Myers (2017).,COMPREHENSION
The construction industry comprises a wide diversity of firms that it is impossible to categorise them all within one type of market structure. Discuss.,ANALYSIS
"In their efforts to achieve their macroeconomic objectives, all governments, regardless of political persuasion, employ the same types of policy instrument. Discuss.",COMPREHENSION
Calculate the market demand and market supply in table form. ,APPLICATION
Draw the market demand and supply curve. ,COMPREHENSION
Describe SIX (6) factors that are affecting supply in the construction industry. ,COMPREHENSION
Draw a production possibility curve to show the combination of flats and houses which could be achieved on the site. ,APPLICATION
Explain THREE (3) difficulties in calculating national income accounting. ,COMPREHENSION
National income accounting refers to a set of rules and techniques that are used to measure the national income of a country. Explain the EIGHT (8) reasons why national income accounting is important. ,COMPREHENSION
National income can be calculated using three approaches. State the THREE (3) approaches.,KNOWLEDGE
Calculate the market demand and market supply in table form. ,APPLICATION
Draw the ‘market demand' and 'supply curve'. ,COMPREHENSION
"Discuss the comparison between the microeconomics and macroeconomics field of study in term of production, prices, income and employment. ",ANALYSIS
Identify and describe the FOUR (4) criteria for judging economic outcomes. ,COMPREHENSION
Define the term 'Production Possibility Curve' as used in the timber and steel factory. ,KNOWLEDGE
"Discuss the THREE (3) important fundamentals in basic economic concepts that are opportunity cost, efficient market and marginalism. ",COMPREHENSION
"For any points which fall under the curve, explain the combination of production for steel and bricks. ",COMPREHENSION
"For any points which fall outside the curve, explain the combination of production for steel and bricks. ",COMPREHENSION
"For any points which fall exactly on the curve, explain the combination of production for steel and bricks. ",COMPREHENSION
Define and explain 'Fiscal Policy' in terms of its objectives and differentiate between the 'Discretionary Fiscal Policy' and 'Automatic Fiscal Policy'. ,ANALYSIS
"Define and list out the objectives of monetary policy, the quantitative versus qualitative instruments of monetary policy.",KNOWLEDGE
Discuss the comparison between 'Quantitative Instruments' and 'Qualitative Instruments' of monetary policy. ,COMPREHENSION
National income accounting refers to a set of rules and techniques that are used to measure the national income of a country. Explain EIGHT (8) significant factors of national income accounting. ,COMPREHENSION
Identify and describe THREE (3) difficulties in calculating national income accounting.,COMPREHENSION
State the THREE (3) approaches to calculate national income.,KNOWLEDGE
You are appointed to identify building defects for a new building. Briefly identify SIX (6) common construction problems you would expect for modern buildings. ,COMPREHENSION
You are conducting a building survey for a 2 year old building where you reported premature building decay. Explain the possible factors that may cause these defects to the building owner. ,COMPREHENSION
Building Information Modeling (BIM) claims to enhance construction efficiency. Discuss THREE (3) benefits you would utilize and their importance to your project. ,COMPREHENSION
In a building there is always concern with fire safety. List what aspects you would assess in order to achieve strict compliance in the building design. ,COMPREHENSION
"As a project manager, you are evaluating the building design for its compliance to intended function as a private college accommodating over 2000 students. Analyze the problems and propose the building performance to meet these functions. ",SYNTHESIS
Describe the concept or purpose of Qlassic and CIS (Construction Industry Standards) documents. ,COMPREHENSION
Briefly list the different types of building maintenance. ,KNOWLEDGE
"As a supervisor for the brickworks, List FOUR (4) aspects of brick quality control in order to produce good architectural work. ",KNOWLEDGE
Discuss FOUR (4) common modern construction problems to anticipate. ,COMPREHENSION
"Propose a suitable preparatory demolition survey, method and shoring where some partial demolition work is included for the rear building portion. ",SYNTHESIS
Describe the factors affecting premature building decay. ,COMPREHENSION
Provide the objectives of building maintenance. ,COMPREHENSION
"Design a sketch section of the floor slab adjoining the parapet that includes the scupper drain, drain guard, water proofing layer, and protective topping. ",SYNTHESIS
"Propose solutions to reinforced concrete flat roof defects experienced in Malaysia, such as water ponding, material exposure to solar radiation, poor maintenance culture and concrete spalling due to leaks from cold joints and stress cracks. ",SYNTHESIS
Analyze and explain the critical purpose of the components design of a raking shore to avoid façade retention failure. ,ANALYSIS
Describe the basic Qlassic inspection tools used and how they are used to detect the various types of defects for their assessment of quality.,COMPREHENSION
Describe THREE (3) types of test that can be applied for a concrete structure survey. ,COMPREHENSION
Describe the purposes of utilizing Building Information Modelling in the construction industry. ,COMPREHENSION
Analyze SIX (6) types of modern construction problems as to how they negatively impact the various building functions. ,ANALYSIS
Discuss FIVE (5) types of “Non Destructive Test equipment and how they can be used to aid the sensory indicators of building defects.,COMPREHENSION
Discuss the types of building defects commonly found on reinforced concrete flat roof which lead to water leaking and concrete cancer and how their cause of defects are defined under ISO 6241. ,COMPREHENSION
"In maintaining concrete quality, identify SEVEN (7) good practices on site. ",KNOWLEDGE
Describe the THREE (3) causes of concrete blister. ,COMPREHENSION
Explain the conditions where underpinning are usually considered for an existing building construction works. ,COMPREHENSION
Identify what types of brickwork defects that require rejection from the supervisor. ,KNOWLEDGE
Discuss the best practices to reduce construction demolition and waste for sustainability. ,COMPREHENSION
You are a project manager working on a 8 storey building conservation project located in a congested urban area with poor soil bearing capacity and underground public utilities. Propose to the building owner why an internally braced shoring system is preferable to raking shore and weighted vertical dead shores. ,SYNTHESIS
"Propose with justification, the types of maintenance relevant to a library building. ",EVALUATION
Describe the 'Qlassic Assessment' principles on how to perform the evaluation. ,COMPREHENSION
"Draw a body-centered cubic (BCC) unit cell. Calculate the volume density and area density on the (0, 0. 1) plane of a BCC cell if the lattice constant is 2.3 Å. Give a brief explanation of your calculations. ",APPLICATION
"If an electron in a hydrogen atom jumps from the first excited state to ground state, find the wavelength of the photon emitted. ",COMPREHENSION
Determine the resistivity of a Si sample if it is doped with 10 phosphorus atoms/cm and H. = 750 cm Vs. Find the Hall coefficient of the sample. ,APPLICATION
Sketch the 1-V curve of a zener diode and explain what a zener breakdown is. ,APPLICATION
Show that the Fermi-Dirac function is a step function at T = 0 K. ,APPLICATION
Draw the face-centered cubic cell and determine its packing fraction. State and explain the assumptions you have made. ,APPLICATION
Find the velocity and wavelength of the electron. ,COMPREHENSION
Apply the energy band diagram to explain why an intrinsic semiconductor is conductive and that its conductivity increases with temperature.,APPLICATION
"Draw the energy band diagram of a pn junction. Label the depletion region and the electric field in the depletion region. For an unbiased junction, discuss the movement of majority and minority carriers and the resultant current that may arise at equillibrium. ",COMPREHENSION
State the five assumptions of an ideal diode. ,KNOWLEDGE
Explain why the intrinsic carrier concentration of Ge is higher than Si at T = 300 K. ,COMPREHENSION
"Explain how the ionic, metallic, covalent, and mixed states solids are formed. Give an example of each solid and compare the electrical conductivity of the four types of solid. ",COMPREHENSION
Draw the body-centered cubic cell and determine its packing fraction. State and explain the assumptions you have made. ,APPLICATION
Explain with an energy band diagram how an electron-hole pair (EHP) is formed in a semiconductor. ,COMPREHENSION
Draw the energy band diagram of the doped semiconductor at 300 K. ,COMPREHENSION
Calculate the carrier densities of the doped semiconductor at 400 K. ,APPLICATION
Draw the energy band diagram of the pn junction. ,COMPREHENSION
Find the reverse bias saturation current. ,COMPREHENSION
State the four different bias modes of a BJT and explain how they are obtained. ,COMPREHENSION
"Draw the band diagram of a reverse biased pn junction. With reference to the band diagram and charge carriers, explain why there is negligible current flow in the diode. ",COMPREHENSION
Draw a faced-centered cubic (FCC) cell. Calculate the packing fraction of the FCC cell. State any assumptions you have made and explain your calculations. ,APPLICATION
An electron experiences a potential difference of 5 kV in vacuum. Find the wavelength of the particle. ,COMPREHENSION
Draw the energy band diagram of an 11-type semiconductor and explain how an electron-hole pair (EHP) is formed. State any assumptions you have made. ,COMPREHENSION
Draw the energy band diagram of an intrinsic Si and label the band gap energy. ,COMPREHENSION
State two differences between a JFET and a BJT. ,COMPREHENSION
Name a donor atom and acceptor atom for Si. ,KNOWLEDGE
Write down Schrodinger's equation in one dimension and explain the meaning of each term of the equation. ,COMPREHENSION
Show that the wavefunction of a free particle is a plane wave. ,APPLICATION
State the four different bias modes of a BJT and explain how they are obtained. ,COMPREHENSION
Explain why the electrical conductivity of a semiconductor is higher than an insulator by using the energy band diagram. ,COMPREHENSION
State the conductivity of a semiconductor at 0 K and clearly explain your answer. ,COMPREHENSION
Determine the doping levels in the respective regions.,APPLICATION
"In a BJT, the width of the base quasineutral region has to be small compared to the minority carrier diffusion length. Explain why this is important ",COMPREHENSION
Explain the creation of an electron-hole pair in an intrinsic Si semiconductor at room temperature by using the covalent bonding picture. ,COMPREHENSION
Evaluate if the contact is ohmic or rectifying (Schottky diode) in nature. Provide the analysis and support your answer with calculation,EVALUATION
"Sketch the energy band diagram of the ideal metal-semiconductor contact in forward bias mode. Show the conduction and valence band edges, and all the Fermi levels. ",APPLICATION
Compare the electrical conductivity of an insulator and a semiconductor at room temperature by using the energy band diagram. ,COMPREHENSION
Prove that the wave function of a free electron is a plane wave by using Schrodinger's equation. ,EVALUATION
Compare Zener breakdown with avalanche breakdown in a pn junction and state THREE differences. Name a device that utilizes each breakdown mode. ,ANALYSIS
Determine the volume density and area density on the (1 0 0) plane of a body center cubic cell with lattice constant of 5 Å. ,APPLICATION
Explain the change in conductivity for a metal and an intrinsic semiconductor as temperature increases. ,COMPREHENSION
Determine the Fermi level (in eV) of the doped semiconductor and draw the energy band diagram. ,APPLICATION
Explain why it is important for the width of the base quasineutral region to be small compared to the minority carrier diffusion length in the operation of a BJT.,COMPREHENSION
"Explain the meaning of the expression ""robust model"". Specifically, justify your response if you heard a manager exclaim  'Uh-oh, we're in trouble! The calculated EOQ is wrong; actual demand is 10% greater than estimated'. ",EVALUATION
"Explain one (1) major advantage, and one (1) major disadvantage, of a fixed period system. ",COMPREHENSION
Explain the method of monitoring inventory levels in retails stores.,COMPREHENSION
Develop an ABC classification system for the 10 items. ,SYNTHESIS
"Construct a product structure. Identify components. 
parents, and components.",SYNTHESIS
Prepare a time-phased product structure. ,APPLICATION
Design a vendor-rating form that represents your comparison of the education offered by universities in which you considered/are considering/have considered enrolling. ,SYNTHESIS
"""The bullwhip measure can be used to analyze supply chains. Nevertheless, inaccurate measures taken in addressing variance amplification can have ramifications"".  Explain this statement. ",COMPREHENSION
Explain three (3) lean techniques that work in both the manufacturing and service sector. ,COMPREHENSION
"Just-in-time (JIT) attempts to remove delays, which do not add value. Explain how JIT copes with weather and its impact on crop harvest and transportation times. ",COMPREHENSION
Explain three (3) ways in which JIT and quality are related. ,COMPREHENSION
Determine the economic order quantity.,APPLICATION
"Justify the choice of supplier. From your choice, determine the optimal order quantity and total annual cost of ordering, purchasing and holding the component. ",EVALUATION
Calculate the optimal size of the production run. ,APPLICATION
Calculate the average holding and setup cost per year. ,APPLICATION
"Calculate the total cost per year, including the cost of the lights. ",APPLICATION
"Explain the reason why it is not necessary to include product cost (price or price times quantity) in the EOQ model, but the quantity discount model requires the inclusion of product cost. ",COMPREHENSION
"When quantity discounts are offered, justify why it is not necessary to check discount points that are below the EOQ or points above the EOQ that are not discount points. ",EVALUATION
"Just-in-time (JIT) attempts to remove delays, which do not add value. Explain how JIT copes with weather and its impact on crop harvest and transportation times. ",COMPREHENSION
Describe the three (3) ways in which JIT and quality are related. ,COMPREHENSION
"Standardized, reusable containers have fairly obvious benefits for shipping. Use five (5) points to justify the purpose of these devices within the plant. ",EVALUATION
Develop a time phased product structure.,SYNTHESIS
Calculate the variance of demand for the winery. ,APPLICATION
Calculate the variance of orders for the glass bottles. ,APPLICATION
Determine if the winery is providing an amplifying or smoothing effect. ,APPLICATION
Determine the percentage of DHT's assets committed to inventory. ,APPLICATION
Justify if DHT`s supply chain performance is better than PLI. ,EVALUATION
"Explain the definition of a “robust model”. Specifically, if a manager exclaimed “The calculated EOQ is wrong because the actual demand is 10% greater than estimated”, justify your response. ",EVALUATION
Explain the term “level scheduling'. ,COMPREHENSION
"Standardized, reusable containers have fairly obvious benefits in shipping and within a plant. State five (5) purpose of these devices. ",KNOWLEDGE
Justify two (2) lean techniques that work in both the manufacturing and service sectors. ,EVALUATION
Calculate the percent invested in inventory. ,APPLICATION
Calculate the inventory turnover. ,APPLICATION
Determine if the winery is providing an amplifying or smoothing effect. ,APPLICATION
Igneous rock can be formed either underground or above ground. Elaborate. ,COMPREHENSION
Glass is known to have good qualities and properties related to thermal and sound insulations. Discuss the application of glass in the construction of green building.,COMPREHENSION
Briefly explain the desire properties of aggregate in producing concrete mixture. ,COMPREHENSION
Autoclave aerated concrete block is gaining popular in high rise construction. Briefly illustrate what are the unique features of the autoclave aerated concrete block. ,COMPREHENSION
Steel is the most widely used reinforcing materials in concrete structure. Briefly explain the general properties of steel. ,COMPREHENSION
Briefly illustrate FOUR (4) influences of carbon on metal. ,COMPREHENSION
Compare and contrast the characteristics and usage between aluminium and high carbon steel. ,ANALYSIS
Briefly describe the general properties of plastic in terms of strength and durability. Comment also why plastic is not suitable to use as reinforcement bar for concrete structure. ,EVALUATION
"There are three common types of brick in Malaysia, namely common brick, facing brick and engineering brick. Differentiate the properties and the applications among them. ",ANALYSIS
The general objective of inventory control is to minimize the total cost of keeping the inventory while making trade-offs. Elaborate the FOUR (4) major categories of cost in inventory control. ,COMPREHENSION
"Briefly describe the properties of wood in terms of density, thermal insulation, chemical resistance and strength. ",COMPREHENSION
Recommend a suitable admixture to increase the workability of concrete and explain how it functions. ,EVALUATION
Briefly describe TEN (10) general characteristic of hardened concrete. ,COMPREHENSION
Timber and plastic are common materials used in construction industry. Elaborate FIVE (5) specific applications for each material in building construction. ,COMPREHENSION
List down FIVE (5) types of concrete admixture. ,KNOWLEDGE
Describe FIVE (5) characteristics of hardened concrete. ,COMPREHENSION
"Compare and contrast the properties of clay brick and calcium silicate brick in terms of crushing strength, moisture movement, durability, appearance, fire resistance, colour, texture, sound and thermal insulation. ",ANALYSIS
"Recommend a suitable metal for the fabrication of power tools like drills, files and chisels. Your recommendation should be justified by elaborating the important properties of the proposed metal. ",EVALUATION
A client wishes to renovate his balcony at first floor by replacing the metal handrail with glass panel. Recommend a suitable type of glass to the client and justify your answer. Please be reminded that safety is the major factor in all cases. ,EVALUATION
Explain THREE (3) advantages of using aluminium to fabricate roof gutter. ,COMPREHENSION
Provide FOUR (4) reasons of using aggregate in concrete production. ,COMPREHENSION
Explain THREE (3) categories of treatment to enhance the durability of timber. ,COMPREHENSION
Compare the seasoning method between softwood and hardwood. ,COMPREHENSION
Describe the significance of concrete as a primary material in today's construction. ,COMPREHENSION
Compare and contrast the characteristics between hardwood and softwood. ,ANALYSIS
Concrete mould can be fabricated using steel or plastic. Differentiate the characteristics of concrete mould that is produced by these materials. ,ANALYSIS
"Differentiate the properties between clay brick and autoclave aerated concrete (AAC) block in term of compressive strength, density, colour, acoustic performance and thermal insulation. ",ANALYSIS
Propose an admixture to increase the workability of concrete in the fresh state without reducing the engineering performance of the hardened concrete. ,SYNTHESIS
Recommend TWO (2) suitable types of glasses which have good insulation properties for green building construction. ,EVALUATION
Suggest a type of metal for reinforcing a concrete structure.,SYNTHESIS
Propose a suitable type of glass that is used to construct a transparent fiat roof for the entrance of the Heritage Hall in Universiti Tunku Abdul Rahman. ,SYNTHESIS
Illustrate the needs of timber preservation and the techniques. ,COMPREHENSION
Compare the formation process between igneous rock and sedimentary rocks. ,COMPREHENSION
Illustrate the advantages of plastic material and its applications in construction. ,COMPREHENSION
Describe the applications of mild steel in construction. ,COMPREHENSION
Elaborate on the design and production process including the rational and economic use of resources that influence the development of a building. ,COMPREHENSION
Describe the components in the Mechanical and electrical System used in buildings.,COMPREHENSION
List the SEVEN (7) stages of the development process of a building project. ,KNOWLEDGE
List FIVE (5) plant consideration in a construction site. ,KNOWLEDGE
Discuss the objectives and the provision of site security in a construction site. ,COMPREHENSION
Explain what is a datum level as used in site surveying for a building project. ,COMPREHENSION
List the SEVEN (7) factors to be considered in the method of excavation and timbering. ,KNOWLEDGE
Elaborate the objectives and basic design procedure of the foundation design of a building. ,COMPREHENSION
Describe and sketch the THREE (3) types of brick bonding. ,APPLICATION
List FOUR (4) general requirements for floor finishes. ,KNOWLEDGE
List FIVE (5) properties of damp-proof courses. ,KNOWLEDGE
Discuss the disadvantages of timber flat roofs. ,COMPREHENSION
Explain the concept for the nature of building characteristics. ,COMPREHENSION
Explain the activities involved in the building process. ,COMPREHENSION
Describe the use of architecture drawings in construction. ,COMPREHENSION
List down THREE (3) methods of excavation. ,KNOWLEDGE
Explain the types of construction excavation. ,COMPREHENSION
Sketch and label the section of the ground floor slab. Explain the purpose of each labelled component. ,APPLICATION
List down ALL types of brick wall and give explanations for each type of the wall. ,COMPREHENSION
"Evaluate the differences between the common, facing and engineering bricks in characteristics and use. ",EVALUATION
Discuss the factors that affect the stability of high-rise buildings.,COMPREHENSION
Distinguish between ‘land surveyor' and 'quantity surveyor'.,ANALYSIS
Explain THREE (3) purposes of architectural drawings to architects and other parties in the construction team. ,COMPREHENSION
Identify THREE (3) building related statutory laws in Malaysia.,COMPREHENSION
Distinguish between ‘load bearing wall' and 'non-load bearing wall’. ,ANALYSIS
"Differentiate among “external wall', 'internal wall' and 'parapet'. ",ANALYSIS
Describe SIX (6) functional requirements of walls. ,COMPREHENSION
Identify THREE (3) types of mortar used in wall construction. ,COMPREHENSION
Sketch a diagram which indicates the Damp Proof Membrane (DPM) in the non reinforced concrete ground floor. ,APPLICATION
Outline FIVE (5) functional requirements of a floor. ,COMPREHENSION
Discuss the procedures of the non-suspended reinforced concrete ground floors construction. ,COMPREHENSION
Distinguish between 'differential foundation settlement' and 'uniform foundation settlement'.,ANALYSIS
Explain TWO (2) defects which are usually occur on the surface of finished concrete.,COMPREHENSION
Discuss SIX (6) considerations before choosing the foundation type. ,COMPREHENSION
The foundation is the base on which a building rest and its purpose is to safely transfer the load of a building to a suitable subsoil. Identify the specified bearing loads and give the explanations for each bearing load.,COMPREHENSION
Foundation design is required the study and examination of multiple components which is a highly specialized the function and usually is performed by a structural engineer. Inspect the components which have to include in the designing of a building foundation. ,ANALYSIS
Explain the development process for a building construction.,COMPREHENSION
Demonstrate the steps involved in setting out of a building foundation and discuss the setting out of purposes. ,APPLICATION
Distinguish between 'Trench' and 'Pier holes/ Pits' construction excavation. ,ANALYSIS
Analyse the behavior of subsoil of coarse grained non-cohesive soils and fine grained cohesive soils. ,ANALYSIS
Evaluate the functions of the component of a structural floor. ,EVALUATION
Distinguish between flat roof and pitched roof. ,ANALYSIS
Explain the FIVE (5) procedures which need to be documented during the site inspection. ,COMPREHENSION
Distinguish between 'periodic inspection' and 'continuous inspection'. ,ANALYSIS
Differentiate between “trial pits' and 'boreholes”. ,ANALYSIS
Distinguish between “suspended' and ‘non-suspended' floor. ,ANALYSIS
Explain the solum treatment used in the floor construction. ,COMPREHENSION
Ion implantation is one of the popular methods to dope semiconductors. Discuss the control parameters for this method. ,COMPREHENSION
Design and sketch the optimized stick-diagram layout. ,SYNTHESIS
Discuss the advantages of dynamic logic circuit compared to the conventional static combinational logic circuit. ,COMPREHENSION
Discuss the advantages of reducing the minimum feature size.,COMPREHENSION
"Based on your knowledge on the physics of semiconductors, evaluate the limit for the minimum feature size of silicon MOSFET.",EVALUATION
Determine the type of MOSFET. ,APPLICATION
"FinFET technology is developed to minimize some of the shortcomings in planar MOSFETs. With the aid of diagrams, show the differences between these TWO (2) transistors. ",APPLICATION
Discuss the advantages of FinFETS over planar MOSFETs. ,COMPREHENSION
"Using transmission-gates, design and sketch an 8-to-1 multiplexer. ",SYNTHESIS
Oxidation is one of the most important thermal processes. Briefly explain the TWO (2) types of oxidation process. ,COMPREHENSION
"Annealing is a thermal process typically performed after ion implantation. With the aid of diagrams, briefly discuss the purpose of this process. ",COMPREHENSION
Discuss the main objective of layout design rules. ,COMPREHENSION
The design rules are usually described in TWO (2) ways. Describe these TWO (2) ways. ,COMPREHENSION
"Besides Field Programmable Gate Array (FPGA), name one other type of programmable logic device. ",KNOWLEDGE
Illustrate the THREE (3) advantages of silicon over germanium. ,COMPREHENSION
"Besides silicon and germanium, name ONE (1) other material that can be used as the substrate of a transistor. ",COMPREHENSION
Design and sketch the layout of a CMOS inverter. ,SYNTHESIS
Determine the oxide capacitance. ,APPLICATION
"With the aid of a diagram, briefly show how the width of a FinFET is estimated.",APPLICATION
Oxidation is one of the most important thermal processes. Briefly discuss the characteristics of dry oxidation. ,COMPREHENSION
"Local oxidation of silicon or LOCOS is a type of application which involves wet oxidation. With the aid of diagrams, briefly illustrate this process. ",COMPREHENSION
Explain the main purpose of LOCOS. ,COMPREHENSION
"Besides LOCOS, name TWO (2) other applications which require thermal processes. ",COMPREHENSION
"Dielectric films can be thermally grown or deposited. Discuss the 
fundamental difference between these two methods. ",COMPREHENSION
"The technology of VLSI is defined by the feature size. With the aid of a diagram, explain the feature size. ",COMPREHENSION
"The technology of VLSI is defined by the feature size. Over the years, the feature size has been reducing. Analyze and explain the reasons for doing so. ",ANALYSIS
"Using transmission-gates, design and sketch a 4-to-1 multiplexer. ",SYNTHESIS
"Besides silicon and germanium, name ONE (1) other material which could be used to fabricate transistors. ",COMPREHENSION
Discuss the differences between a stick diagram and an actual layout. ,COMPREHENSION
Analyze the causes of infant mortality during and after production. ,ANALYSIS
Give TWO (2) examples how intrinsic reliability failure occurs in ICs. ,COMPREHENSION
"With the aid of a diagram, explain LOCOS. ",COMPREHENSION
Discuss the disadvantages of LOCOS. ,COMPREHENSION
Explain the purposes of scaling. ,COMPREHENSION
Determine the gate oxide capacitance.,APPLICATION
Explain the physical meaning of transconductance. ,COMPREHENSION
Evaluate how the increase of the transconductance affects the operation of the transistor. ,EVALUATION
"There are TWO (2) common methods used in the semiconductor industry to fabricate single crystal silicon. With the aid of diagrams, name and explain the methods. ",COMPREHENSION
There are TWO (2) common methods used in the semiconductor industry to fabricate single crystal silicon. Analyze the advantage and disadvantage of both methods. ,ANALYSIS
Classify and briefly explain different computational methods used in analyzing flows in hydraulic engineering. ,COMPREHENSION
"In computational methods of analyzing flows in rivers and channels, effects of turbulence are reflected in different ways depending on how the flow is modelled. Give examples of these models and explain the advantages and  shortcomings. ",COMPREHENSION
List the major forces acting on the concrete body of the dam excluding earthquake and wind forces. ,COMPREHENSION
"In all analysis methods, the effects of turbulence have to be modeled unless all the scales of motion are represented explicitly as in Direct Numerical Simulation (DNS). Explain why it is not practical to analyze flows in practical hydraulic engineering by DNS. ",COMPREHENSION
"Name a commercially available software or an open-source software that does the computational analysis of flows of hydraulic engineering and explain what it is used for, what equations based on what assumptions it uses and how then are solved. ",COMPREHENSION
Explain the possible flow patterns in the culvert depending on the level of the rain water in the car park and the drain channel. ,COMPREHENSION
Draw the water surface profile when the rainfall intensity is more than the design rainfall so that the inlet of the cuivert is submerged. Explain how the flow rate can be computed in this case. ,APPLICATION
Describe what hydraulic engineering is in your own words showing concrete examples. ,COMPREHENSION
Explain different approaches used in hydraulic engineering to achieve its objectives by giving examples. ,COMPREHENSION
Explain important features and characteristics of the flows encountered in hydraulic engineering compared with cases in other fluid engineering.,COMPREHENSION
Discuss the role of hydraulic engineering in the sustainable development and preservation. ,COMPREHENSION
Estimate the magnitude of the bed shear stress by making necessary assumptions and justifications. ,APPLICATION
Estimate the value of the roughness parameter of the riverbed from the observed surface slope and velocity. Compare your computed value with generally known values for the present river bed. ,ANALYSIS
Scaffolding is a temporary frame constructed to support a number of platforms at different heights and to provide workers a safe platform from which to work. Name any FOUR (4) types of scaffolding used in construction industry. ,KNOWLEDGE
"""The slope has been standing for more than 15 years! So it is safe"" and ""Geological report shows that the slope is safe"". The above statements are the common misconception. Propose FIVE (5) construction controls to ensure the safety of construction of residential building on hill-site in Malaysia. ",SYNTHESIS
Prestressed concrete is a method for overcoming concrete's natural weakness in tension. Justify the TWO (2) common methods of prestressing. ,EVALUATION
Subsurface exploration can be divided into THREE (3) programs. Explain in detail the conclusion that could be derived from each program.,COMPREHENSION
Name FOUR (4) types of soil in-situ field test and its application. ,KNOWLEDGE
Name TWO (2) types of laboratory tests. ,KNOWLEDGE
Explain the use of scaffolding in construction. ,COMPREHENSION
Explain THREE (3) conditions where cantilever scaffolding is applied. ,COMPREHENSION
"State any TWO (2) of Malaysia's rules, regulations or standards which are related to scaffolding and falsework. ",COMPREHENSION
Explain FOUR (4) major forces which move water into wall claddings and measures to be taken to eliminate these problems. You are required to include illustrations in your explanation. ,COMPREHENSION
Discuss FIVE (5) advantages of IBS compared to conventional in situ concrete. ,COMPREHENSION
IBS components can be divided into five broad categories. Briefly describe with examples all FIVE (5) categories. ,COMPREHENSION
Discuss FIVE (5) advantages of IBS compared to conventional in situ concrete. ,COMPREHENSION
"Compare the gravity retaining wall, semi gravity retaining wall and cantilever retaining wall in the aspects of shape design, maximum height and method of construction. ",COMPREHENSION
Pre-cast concrete retaining walls may be constructed with any or all of the joints. Describe the THREE (3) types of joints used. ,COMPREHENSION
